,country,"fy2017, Dealing with construction permits","fy2019, Dealing with construction permits","fy2018, Dealing with construction permits"
106,MDA,47.96588,56.23564,48.23084
107,MDG,34.22959,35.89625,35.89625
108,MDV,72.87197,72.98518,72.99794
109,MEX,67.84721,68.84521,68.20937
110,MHL,70.93104,71.09061,71.2251
111,MKD,80.37212,83.54891,83.3816
112,MLI,60.44407,61.42875,61.07032
113,MLT,72.45081,73.49213,73.35459
114,MMR,70.4702,75.40137,70.49516
115,MNE,76.88731,76.07911,75.19354
116,MNG,78.18964,78.20701,78.18935
117,MOZ,72.80281,73.18497,72.56743
118,MRT,64.01701,66.86368,66.69625
119,MUS,82.46067,85.76653,82.50976
120,MWI,59.22135,63.12654,61.16858
121,MYS,83.26173,89.91548,88.82191
122,NAM,69.43339,69.96695,69.789
123,NER,42.47935,44.14601,44.14601
124,NGA,58.97288,73.61442,59.00325
125,NIC,46.30715,46.32536,46.58455
126,NLD,69.3342,69.40076,69.36416
127,NOR,80.69804,80.58118,80.60021
128,NPL,55.66701,67.30365,57.92103
129,NZL,86.35896,86.46305,86.49992
130,OMN,75.17836,75.18935,75.11333
131,PAK,51.16137,66.46364,51.93347
132,PAN,68.08155,68.2426,68.17608
133,PER,70.72476,72.52623,72.40827
134,PHL,66.67437,69.9585,68.57983
135,PLW,62.26084,63.10158,62.20432
136,PNG,64.41754,64.54453,64.40502
137,POL,76.30887,76.35336,76.33238
138,PRI,60.1664,59.59702,59.3849
139,PRT,73.13035,73.2288,73.16889
140,PRY,70.50741,71.10571,70.50107
141,PSE,56.59462,58.22881,55.9936
142,QAT,84.15738,84.15744,84.15207
143,ROU,58.25775,58.35449,58.32371
144,RUS,73.19671,78.89581,78.40685
145,RWA,65.55982,70.63836,67.01323
146,SAU,76.62138,78.34836,76.69685
147,SDN,64.58078,64.20887,63.84025
148,SEN,59.10527,62.06435,59.5965
149,SGP,84.69304,87.86398,84.73042
150,SLB,49.07397,49.46789,49.07397
151,SLE,38.42747,38.42747,38.42747
152,SLV,50.38219,52.34641,52.69305
153,SMR,68.6578,68.91027,68.78669
154,SOM,0.0,0.0,0.0
155,SRB,83.0898,85.28927,84.41578
156,SSD,36.60615,50.51341,46.40223
157,STP,66.48608,66.64046,66.64046
158,SUR,66.40288,66.32663,66.37493
159,SVK,59.33249,59.35891,59.34437
160,SVN,65.10177,65.33066,65.22369
161,SWE,77.89138,78.04526,77.9721
162,SWZ,66.72037,68.65859,66.81172
163,SYC,65.50543,67.3397,65.49503
164,SYR,0.0,0.0,0.0
165,TCD,46.92513,47.23792,46.7705
166,TGO,44.03624,64.11985,60.51344
167,THA,71.7934,77.26084,71.86047
168,TJK,60.47696,60.84773,60.62754
169,TLS,55.28809,55.28932,55.33498
170,TON,73.91204,71.91286,74.55965
171,TTO,64.1195,64.13486,64.12711
172,TUN,73.57527,77.37795,77.13894
173,TUR,69.57558,73.83134,73.4023
174,TWN,86.317,87.12294,87.11228
175,TZA,56.42767,57.91551,57.09644
176,UGA,65.03217,66.44736,65.66865
177,UKR,78.2163,81.14055,77.22832
178,URY,55.96735,57.54427,57.49662
179,USA,79.83853,80.02093,79.878
180,UZB,61.18306,61.68484,61.36649
181,VCT,74.41861,74.43736,74.42277
182,VEN,58.0319,46.45313,55.95529
183,VNM,79.0255,79.27421,79.0451
184,VUT,54.03784,54.57009,54.68341
185,WSM,68.75507,68.81206,68.77607
186,XKX,50.29844,55.28702,52.87432
187,YEM,0.0,0.0,0.0
188,ZAF,68.26741,68.32331,68.24925
189,ZMB,71.10859,72.0946,71.72488
190,ZWE,46.39289,60.00173,48.55427
